Taxonomy,Taxon_ID,target.gene,BRC.ID,Superclass,Class,Subclass,Gene_Name,EC.number,Accession,Alt.Locus.Tag,Feature.ID,Feature.Type,Start,End,Length.1,Strand.x,FIGfam.ID,PATRIC.genus.specific.families..PLfams.,PATRIC.cross.genus.families..PGfams.,Protein.ID,AA.Length,Patric_Product,GO
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2581c,fig|83332.111.peg.2884,,Unknown,Hydrolase,,3.-.-.-,CP003248,VBIMycTub226894_2884,PATRIC.83332.111.CP003248.CDS.2906099.2906773.rev,CDS,2906099,2906773,675,-,FIG00000013,PLF_1763_00001115,PGF_10420457,AFN50551.1,224,MBL-fold metallo-hydrolase superfamily,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3677c,fig|83332.111.peg.4088,,Unknown,Hydrolase,,,CP003248,VBIMycTub226894_4088,PATRIC.83332.111.CP003248.CDS.4117436.4118230.rev,CDS,4117436,4118230,795,-,FIG00013561,PLF_1763_00001927,PGF_10420457,AFN51694.1,264,MBL-fold metallo-hydrolase superfamily,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1333,fig|83332.111.peg.1488,,Unknown,Hydrolase,,3.4.11.-,CP003248,VBIMycTub226894_1488,PATRIC.83332.111.CP003248.CDS.1501605.1502639.fwd,CDS,1501605,1502639,1035,+,FIG01037871,PLF_1763_00006352,PGF_00035139,AFN49240.1,344,Possible amide hydrolase Rv1333,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1096,fig|83332.111.peg.1223,,Unknown,Hydrolase,,,CP003248,VBIMycTub226894_1223,PATRIC.83332.111.CP003248.CDS.1224390.1225265.fwd,CDS,1224390,1225265,876,+,FIG01314096,PLF_1763_00056833,PGF_00681996,AFN48994.1,291,Possible glycosyl hydrolase (EC 3.-.-.-),GO:0003923|GPI-anchor transamidase activity;GO:0003923|coenzyme F390-A hydrolase activity;GO:0003923|coenzyme F390-G hydrolase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3305c,fig|83332.111.peg.3688,,Unknown,Hydrolase,amiA1,,CP003248,VBIMycTub226894_3688,PATRIC.83332.111.CP003248.CDS.3691810.3692979.rev,CDS,3691810,3692979,1170,-,FIG00692008,PLF_1763_00000603,PGF_06246570,AFN51311.1,389,Possible N-acyl-L-amino acid amidohydrolase amiA1 (EC 3.5.1.-),
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2800,fig|83332.111.peg.3113,,Unknown,Hydrolase,,,CP003248,VBIMycTub226894_3113,PATRIC.83332.111.CP003248.CDS.3108426.3110075.fwd,CDS,3108426,3110075,1650,+,FIG01381897,PLF_1763_00011322,PGF_00041424,AFN50775.1,549,Putative hydrolase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3401,fig|83332.111.peg.3790,,Unknown,Hydrolase,,3.2.1.-,CP003248,VBIMycTub226894_3790,PATRIC.83332.111.CP003248.CDS.3818222.3820582.fwd,CDS,3818222,3820582,2361,+,FIG00043765,PLF_1763_00001539,PGF_00064727,AFN51415.1,786,Uncharacterized glycosyl hydrolase Rv3401,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1524,fig|83332.111.peg.1701,,Unknown,Hydrolase,,2.4.-.-,CP003248,VBIMycTub226894_1701,PATRIC.83332.111.CP003248.CDS.1718732.1719976.fwd,CDS,1718732,1719976,1245,+,,PLF_1763_00001854,PGF_00064732,AFN49441.1,414,Uncharacterized glycosyltransferase Rv1524/MT1575 (EC 2.-.-.-),
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3672c,fig|83332.111.peg.4083,Metabolism,Unknown,Hydrolase,,,CP003248,VBIMycTub226894_4083,PATRIC.83332.111.CP003248.CDS.4113699.4114520.rev,CDS,4113699,4114520,822,-,FIG00136447,PLF_1763_00000789,PGF_02489591,AFN51689.1,273,Uncharacterized Nudix hydrolase NudL,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2006,fig|83332.111.peg.2233,,Unknown,Hydrolase,otsB1,3.2.1.-,CP003248,VBIMycTub226894_2233,PATRIC.83332.111.CP003248.CDS.2252010.2255993.fwd,CDS,2252010,2255993,3984,+,FIG01959074,PLF_1763_00348670,PGF_00026284,AFN49946.1,1327,Not trehalose-6-phosphate phosphatase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0076c,fig|83332.111.peg.88,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0088,PATRIC.83332.111.CP003248.CDS.85180.85404.rev,CDS,85180,85404,225,-,,PLF_1763_00003428,PGF_08225224,AFN47920.1,74,hypothetical protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0090,fig|83332.111.peg.104,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0104,PATRIC.83332.111.CP003248.CDS.98477.99247.fwd,CDS,98477,99247,771,+,FIG01121868,PLF_1763_00002088,PGF_05101181,AFN47936.1,256,putative membrane protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1824,fig|83332.111.peg.2030,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2030,PATRIC.83332.111.CP003248.CDS.2070694.2071026.fwd,CDS,2070694,2071026,333,+,FIG00025307,PLF_1763_00001134,PGF_05608844,AFN49753.1,110,Small basic protein Sbp,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0094c;RVBD_3467,fig|83332.111.peg.107,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0107,PATRIC.83332.111.CP003248.CDS.103707.104660.rev,CDS,103707,104660,954,-,FIG00820827,,,AFN47941.1,317,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0095c,fig|83332.111.peg.109,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0109,PATRIC.83332.111.CP003248.CDS.104802.105098.rev,CDS,104802,105098,297,-,FIG00820827,PLF_1763_00003915,PGF_05503590,AFN47942.1,98,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1128c,fig|83332.111.peg.1260,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1260,PATRIC.83332.111.CP003248.CDS.1251622.1252977.rev,CDS,1251622,1252977,1356,-,FIG01327493,PLF_1763_00061293,PGF_05503590,AFN49027.1,451,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1148c,fig|83332.111.peg.1285,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1285,PATRIC.83332.111.CP003248.CDS.1276305.1277804.rev,CDS,1276305,1277804,1500,-,FIG00820827,PLF_1763_00062541,PGF_05503590,AFN49051.1,499,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1587c,fig|83332.111.peg.1765,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1765,PATRIC.83332.111.CP003248.CDS.1788169.1789404.rev,CDS,1788169,1789404,1236,-,FIG00820827,PLF_1763_00042741,PGF_05503590,AFN49505.1,411,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1702c,fig|83332.111.peg.1890,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1890,PATRIC.83332.111.CP003248.CDS.1927218.1928582.rev,CDS,1927218,1928582,1365,-,FIG01327493,PLF_1763_00126669,PGF_05503590,AFN49623.1,454,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1945,fig|83332.111.peg.2163,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2163,PATRIC.83332.111.CP003248.CDS.2195912.2197360.fwd,CDS,2195912,2197360,1449,+,FIG00820827,PLF_1763_00062541,PGF_05503590,AFN49877.1,482,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3467,fig|83332.111.peg.3861,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_3861,PATRIC.83332.111.CP003248.CDS.3884143.3885096.fwd,CDS,3884143,3885096,954,+,FIG00820827,PLF_1763_00042741,PGF_05503590,AFN51485.1,317,13E12 repeat family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0336,fig|83332.111.peg.372,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0372,PATRIC.83332.111.CP003248.CDS.400168.401703.fwd,CDS,400168,401703,1536,+,FIG00831556,PLF_1763_00059655,PGF_00001391,AFN48191.1,511,"13E12 repeat family protein, HNH endonuclease domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0393,fig|83332.111.peg.433,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0433,PATRIC.83332.111.CP003248.CDS.473117.474109.fwd,CDS,473117,474109,993,+,FIG00831556,PLF_1763_00026746,PGF_00001391,AFN48247.1,330,"13E12 repeat family protein, HNH endonuclease domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0397,fig|83332.111.peg.437,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0437,PATRIC.83332.111.CP003248.CDS.475819.476187.fwd,CDS,475819,476187,369,+,FIG00831556,PLF_1763_00026746,PGF_00001391,AFN48251.1,122,"13E12 repeat family protein, HNH endonuclease domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0515,fig|83332.111.peg.567,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0567,PATRIC.83332.111.CP003248.CDS.606500.608065.fwd,CDS,606500,608065,1566,+,FIG00831556,PLF_1763_00059655,PGF_00001391,AFN48377.1,521,"13E12 repeat family protein, HNH endonuclease domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2100,fig|83332.111.peg.2340,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2340,PATRIC.83332.111.CP003248.CDS.2358463.2360049.fwd,CDS,2358463,2360049,1587,+,FIG01350690,PLF_1763_00044278,PGF_00001391,AFN50044.1,528,"13E12 repeat family protein, HNH endonuclease domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2970A,fig|83332.111.peg.3311,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_3311,PATRIC.83332.111.CP003248.CDS.3325980.3326114.fwd,CDS,3325980,3326114,135,+,FIG00826075,PLF_1763_00104962,PGF_02388331,AFN50954.1,44,"2,5-diketo-D-gluconic acid reductase (EC 1.1.1.-)","GO:0000252|C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity;GO:0000252|aldo-keto reductase (NADP) activity;GO:0000252|isocitrate dehydrogenase activity;GO:0000252|mevaldate reductase activity;GO:0000252|gluconate dehydrogenase activity;GO:0000252|steroid dehydrogenase activity;GO:0000252|epoxide dehydrogenase activity;GO:0000252|5-exo-hydroxycamphor dehydrogenase activity;GO:0000252|2-hydroxytetrahydrofuran dehydrogenase activity;GO:0000252|acetoin dehydrogenase activity;GO:0000252|phenylcoumaran benzylic ether reductase activity;GO:0000252|D-xylose:NADP reductase activity;GO:0000252|L-arabinose:NADP reductase activity;GO:0000252|D-arabinitol dehydrogenase, D-ribulose forming (NADP+) activity;GO:0000252|steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;GO:0000252|steroid dehydrogenase activity, acting on the CH-CH group of donors;GO:0000252|(R)-(-)-1,2,3,4-tetrahydronaphthol dehydrogenase activity;GO:0000252|3-hydroxymenthone dehydrogenase activity;GO:0000252|very long-chain-3-hydroxyacyl-CoA dehydrogenase activity;GO:0000252|dihydrotestosterone 17-beta-dehydrogenase activity;GO:0000252|(R)-2-hydroxyisocaproate dehydrogenase activity;GO:0000252|L-arabinose 1-dehydrogenase (NADP+) activity;GO:0000252|L-xylulose reductase (NAD+) activity;GO:0000252|3-ketoglucose-reductase activity;GO:0000252|(R)-2-hydroxyglutarate dehydrogenase activity;GO:0000252|D-arabinitol dehydrogenase, D-xylulose forming (NADP+) activity"
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3579c,fig|83332.111.peg.3988,,Unknown,Hypothetical protein,,2.1.1.-,CP003248,VBIMycTub226894_3988,PATRIC.83332.111.CP003248.CDS.4021604.4022572.rev,CDS,4021604,4022572,969,-,FIG00001049,PLF_1763_00001364,PGF_08582746,AFN51598.1,322,23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185),
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0577,fig|83332.111.peg.637,,Unknown,Hypothetical protein,TB27.3,,CP003248,VBIMycTub226894_0637,PATRIC.83332.111.CP003248.CDS.671163.671954.fwd,CDS,671163,671954,792,+,FIG01313529,PLF_1763_00002251,PGF_02407961,AFN48440.1,263,27 kDa antigen Cfp30B,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2993c,fig|83332.111.peg.3336,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_3336,PATRIC.83332.111.CP003248.CDS.3350284.3351081.rev,CDS,3350284,3351081,798,-,FIG00137538,PLF_1763_00001016,PGF_10344157,AFN50978.2,265,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3536c,fig|83332.111.peg.3941,,Unknown,Hypothetical protein,hsaE,,CP003248,VBIMycTub226894_3941,PATRIC.83332.111.CP003248.CDS.3974690.3975475.rev,CDS,3974690,3975475,786,-,FIG01956384,PLF_1763_00001081,PGF_12812260,AFN51554.1,261,2-keto-4-pentenoate hydratase (EC 4.2.1.80),
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0216,fig|83332.111.peg.247,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0247,PATRIC.83332.111.CP003248.CDS.258913.259926.fwd,CDS,258913,259926,1014,+,FIG00823305,PLF_1763_00001397,PGF_00403784,AFN48067.1,337,2-methylfumaryl-CoA hydratase (EC 4.2.1.148),
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0744Ac,fig|83332.111.peg.824,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0824,PATRIC.83332.111.CP003248.CDS.835062.835208.rev,CDS,835062,835208,147,-,FIG00021583,PLF_1763_00003492,PGF_03059539,AFN48618.1,48,3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31),GO:0008442|3-hydroxyisobutyrate dehydrogenase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2292c,fig|83332.111.peg.2546,Metabolism,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2546,PATRIC.83332.111.CP003248.CDS.2564039.2564263.rev,CDS,2564039,2564263,225,-,,PLF_1763_00000067,PGF_00777996,AFN50246.1,74,5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9),GO:0008930|methylthioadenosine nucleosidase activity;GO:0008782|adenosylhomocysteine nucleosidase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2293c,fig|83332.111.peg.2547,Metabolism,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2547,PATRIC.83332.111.CP003248.CDS.2564302.2565012.rev,CDS,2564302,2565012,711,-,FIG00821329,PLF_1763_00000067,PGF_00777996,AFN50247.1,236,5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9),GO:0008930|methylthioadenosine nucleosidase activity;GO:0008782|adenosylhomocysteine nucleosidase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1203c,fig|83332.111.peg.1344,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1344,PATRIC.83332.111.CP003248.CDS.1346327.1346908.rev,CDS,1346327,1346908,582,-,FIG00820206,PLF_1763_00044913,PGF_00021204,AFN49107.1,193,"AAA-ATPase, domain of unknown function, and LuxR DNA-binding domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1204c,fig|83332.111.peg.1345,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1345,PATRIC.83332.111.CP003248.CDS.1346942.1348612.rev,CDS,1346942,1348612,1671,-,FIG01006075,PLF_1763_00059863,PGF_00021204,AFN49108.1,556,"AAA-ATPase, domain of unknown function, and LuxR DNA-binding domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1867,fig|83332.111.peg.2076,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2076,PATRIC.83332.111.CP003248.CDS.2115795.2117255.fwd,CDS,2115795,2117255,1461,+,FIG00832423,PLF_1763_00165297,PGF_02961886,AFN49796.1,486,Acetyl-CoA acetyltransferase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0111,fig|83332.111.peg.127,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0127,PATRIC.83332.111.CP003248.CDS.133981.136005.fwd,CDS,133981,136005,2025,+,FIG00822583,PLF_1763_00001771,PGF_10502020,AFN47958.1,674,Acyltransferase family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1920,fig|83332.111.peg.2137,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2137,PATRIC.83332.111.CP003248.CDS.2171630.2172493.fwd,CDS,2171630,2172493,864,+,FIG00938093,PLF_1763_00003850,PGF_02412960,AFN49852.1,287,Acyltransferase family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0891c,fig|83332.111.peg.987,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0987,PATRIC.83332.111.CP003248.CDS.992601.993188.rev,CDS,992601,993188,588,-,FIG01390934,PLF_1763_00003333,PGF_02412179,AFN48772.1,195,Adenylyl cyclase class-3/4/guanylyl cyclase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1359,fig|83332.111.peg.1516,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1516,PATRIC.83332.111.CP003248.CDS.1530326.1530931.fwd,CDS,1530326,1530931,606,+,FIG01390934,PLF_1763_00003546,PGF_02412554,AFN49267.1,201,Adenylyl cyclase class-3/4/guanylyl cyclase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1481,fig|83332.111.peg.1648,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1648,PATRIC.83332.111.CP003248.CDS.1671383.1672390.fwd,CDS,1671383,1672390,1008,+,FIG01121868,PLF_1763_00000120,PGF_10081007,AFN49394.1,335,Aerotolerance protein BatA,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2251,fig|83332.111.peg.2505,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2505,PATRIC.83332.111.CP003248.CDS.2525413.2527002.fwd,CDS,2525413,2527002,1590,+,FIG00661484,PLF_1763_00006112,PGF_02149812,AFN50203.1,529,Alkyldihydroxyacetonephosphate synthase (EC 2.5.1.26),GO:0008609|alkylglycerone-phosphate synthase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0584,fig|83332.111.peg.645,,Unknown,Hypothetical protein,,3.2.1.-,CP003248,VBIMycTub226894_0645,PATRIC.83332.111.CP003248.CDS.679232.681865.fwd,CDS,679232,681865,2634,+,FIG00004078,PLF_1763_00001763,PGF_00045730,AFN48447.1,877,"Alpha-1,2-mannosidase",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2303c,fig|83332.111.peg.2558,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2558,PATRIC.83332.111.CP003248.CDS.2574106.2575029.rev,CDS,2574106,2575029,924,-,FIG01366849,PLF_1763_00028247,PGF_00342378,AFN50257.1,307,Amidohydrolase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3679,fig|83332.111.peg.4091,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_4091,PATRIC.83332.111.CP003248.CDS.4119005.4119976.fwd,CDS,4119005,4119976,972,+,FIG00003088,PLF_1763_00000631,PGF_08125688,AFN51697.1,323,Anion-transporting ATPase Rv3679,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1869c,fig|83332.111.peg.2078,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2078,PATRIC.83332.111.CP003248.CDS.2119467.2120702.rev,CDS,2119467,2120702,1236,-,FIG01293726,PLF_1763_00001924,PGF_00056588,AFN49798.1,411,Anthranilate dioxygenase reductase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0954,fig|83332.111.peg.1059,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1059,PATRIC.83332.111.CP003248.CDS.1065131.1066042.fwd,CDS,1065131,1066042,912,+,FIG00820205,PLF_1763_00008068,PGF_00952582,AFN48840.1,303,antigen 34 kDa,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0229Ac,fig|83332.111.peg.261,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0261,PATRIC.83332.111.CP003248.CDS.274710.274904.rev,CDS,274710,274904,195,-,FIG00821452,PLF_1763_00002906,PGF_02140156,AFN48081.1,64,"Antitoxin to Toxin 1, PIN domain",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2630,fig|83332.111.peg.2934,Miscellaneous,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2934,PATRIC.83332.111.CP003248.CDS.2957068.2957442.fwd,CDS,2957068,2957442,375,+,FIG00002581,PLF_1763_00003159,PGF_06915517,AFN50602.1,124,Archease,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0597c,fig|83332.111.peg.659,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0659,PATRIC.83332.111.CP003248.CDS.695671.696906.rev,CDS,695671,696906,1236,-,FIG01006075,PLF_1763_00003068,PGF_12727541,AFN48461.1,411,ATPase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3179,fig|83332.111.peg.3540,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_3540,PATRIC.83332.111.CP003248.CDS.3547540.3548904.fwd,CDS,3547540,3548904,1365,+,FIG01006075,PLF_1763_00002803,PGF_09047815,AFN51172.1,454,ATPase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2008c,fig|83332.111.peg.2235,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2235,PATRIC.83332.111.CP003248.CDS.2256625.2257950.rev,CDS,2256625,2257950,1326,-,FIG01321743,PLF_1763_00002938,PGF_00022755,AFN49948.1,441,"ATPase, AAA family",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0897c,fig|83332.111.peg.993,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0993,PATRIC.83332.111.CP003248.CDS.1000811.1002418.rev,CDS,1000811,1002418,1608,-,FIG00071345,PLF_1763_00001652,PGF_03272699,AFN48779.1,535,Beta-carotene ketolase,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1367c,fig|83332.111.peg.1526,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1526,PATRIC.83332.111.CP003248.CDS.1539518.1540723.rev,CDS,1539518,1540723,1206,-,FIG00000681,PLF_1763_00329484,PGF_05518950,AFN49276.2,401,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1730c,fig|83332.111.peg.1922,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1922,PATRIC.83332.111.CP003248.CDS.1955699.1957252.rev,CDS,1955699,1957252,1554,-,FIG00000747,PLF_1763_00000107,PGF_05518950,AFN49655.1,517,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0907,fig|83332.111.peg.1003,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1003,PATRIC.83332.111.CP003248.CDS.1010125.1011738.fwd,CDS,1010125,1011738,1614,+,FIG00000747,PLF_1763_00001846,PGF_01785064,AFN48789.1,537,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0310c,fig|83332.111.peg.346,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_0346,PATRIC.83332.111.CP003248.CDS.378657.379133.rev,CDS,378657,379133,477,-,FIG00774380,PLF_1763_00001876,PGF_04805169,AFN48165.1,158,Bile acid 7-alpha dehydratase BaiE (EC 4.2.1.106),
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_0925c,fig|83332.111.peg.1026,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1026,PATRIC.83332.111.CP003248.CDS.1031900.1032637.rev,CDS,1031900,1032637,738,-,FIG01313164,PLF_1763_00002855,PGF_00070873,AFN48810.1,245,BRAMP,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1735c,fig|83332.111.peg.1927,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_1927,PATRIC.83332.111.CP003248.CDS.1961298.1961891.rev,CDS,1961298,1961891,594,-,FIG01326914,PLF_1763_00003509,PGF_00841078,AFN49661.2,197,C4-dicarboxylate transporter/malic acid transport protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_1866,fig|83332.111.peg.2074,,Unknown,Hypothetical protein,,2.8.3.-,CP003248,VBIMycTub226894_2074,PATRIC.83332.111.CP003248.CDS.2113075.2115483.fwd,CDS,2113075,2115483,2409,+,FIG01313105,PLF_1763_00049577,PGF_00414833,AFN49795.1,802,CaiB/BaiF family protein,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3728,fig|83332.111.peg.4147,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_4147,PATRIC.83332.111.CP003248.CDS.4175174.4178248.fwd,CDS,4175174,4178248,3075,+,FIG01356213,PLF_1763_00001570,PGF_02405538,AFN51751.1,1024,cAMP-binding MFS-type transporter with patatin-like domain Rv3239c family,
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3239c,fig|83332.111.peg.3617,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_3617,PATRIC.83332.111.CP003248.CDS.3614454.3617600.rev,CDS,3614454,3617600,3147,-,FIG01356213,PLF_1763_00002424,PGF_02396702,AFN51244.1,1048,"cAMP-binding MFS-type transporter with patatin-like domain Rv3239c family => implicated in rifampicin, ofloxacin efflux",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_3525c,fig|83332.111.peg.3926,Miscellaneous,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_3926,PATRIC.83332.111.CP003248.CDS.3961979.3962503.rev,CDS,3961979,3962503,525,-,FIG00553719,PLF_1763_00003498,PGF_10430731,AFN51542.1,174,"Carbonic anhydrase, gamma class (EC 4.2.1.1)",GO:0004089|carbonate dehydratase activity
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2206,fig|83332.111.peg.2453,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2453,PATRIC.83332.111.CP003248.CDS.2470630.2471340.fwd,CDS,2470630,2471340,711,+,FIG00006903,PLF_1763_00171601,PGF_05126349,AFN50155.1,236,"CblZ, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase",
Mycobacterium tuberculosis H37Rv (Broad),83332,RVBD_2406c,fig|83332.111.peg.2686,,Unknown,Hypothetical protein,,,CP003248,VBIMycTub226894_2686,PATRIC.83332.111.CP003248.CDS.2704019.2704447.rev,CDS,2704019,2704447,429,-,FIG01301466,PLF_1763_00001796,PGF_10514242,AFN50371.1,142,CBS domain protein,
